src,dst,time_ns,ping_ns
1584,1668,0,102334274
1584,1668,1000000000,102380736
1584,1668,2000000000,102427530
1584,1668,3000000000,102474678
1584,1668,4000000000,102522174
1584,1668,5000000000,102570010
1584,1668,6000000000,102618188
1584,1668,7000000000,102666698
1584,1668,8000000000,120795591
1584,1668,9000000000,120839179
1584,1668,10000000000,120883351
1584,1668,11000000000,120928106
1584,1668,12000000000,120973439
1584,1668,13000000000,121019341
1584,1668,14000000000,121065809
1584,1668,15000000000,121112833
1584,1668,16000000000,128354921
1584,1668,17000000000,128352475
1584,1668,18000000000,128350588
1584,1668,19000000000,128349263
1584,1668,20000000000,128348500
1584,1668,21000000000,128348294
1584,1668,22000000000,128348642
1584,1668,23000000000,128349546
1584,1668,24000000000,128351002
1584,1668,25000000000,128353015
1584,1668,26000000000,128355563
1584,1668,27000000000,128358678
1584,1668,28000000000,128362335
1584,1668,29000000000,128366545
1584,1668,30000000000,122384069
1584,1668,31000000000,122334603
1584,1668,32000000000,122285555
1584,1668,33000000000,122236895
1584,1668,34000000000,122188651
1584,1668,35000000000,122140821
1584,1668,36000000000,122093429
1584,1668,37000000000,122046451
1584,1668,38000000000,121999901
1584,1668,39000000000,121953803
1584,1668,40000000000,121908128
1584,1668,41000000000,121862904
1584,1668,42000000000,121818133
1584,1668,43000000000,121773812
1584,1668,44000000000,121729955
1584,1668,45000000000,121686559
1584,1668,46000000000,121643639
1584,1668,47000000000,121601191
1584,1668,48000000000,121559230
1584,1668,49000000000,121517745
1584,1668,50000000000,121476756
1584,1668,51000000000,121436263
1584,1668,52000000000,121396269
1584,1668,53000000000,121356781
1584,1668,54000000000,121317804
1584,1668,55000000000,121278424
1584,1668,56000000000,121239257
1584,1668,57000000000,121200618
1584,1668,58000000000,121162503
1584,1668,59000000000,121124935
1584,1668,60000000000,121087900
1584,1668,61000000000,121045805
1584,1668,62000000000,121002744
1584,1668,63000000000,120960240
1584,1668,64000000000,120916762
1584,1668,65000000000,120873050
1584,1668,66000000000,120829921
1584,1668,67000000000,120787354
1584,1668,68000000000,120745365
1584,1668,69000000000,120703963
1584,1668,70000000000,120663145
1584,1668,71000000000,120622928
1584,1668,72000000000,120583302
1584,1668,73000000000,120544285
1584,1668,74000000000,120505875
1584,1668,75000000000,120468076
1584,1668,76000000000,120430891
1584,1668,77000000000,120394329
1584,1668,78000000000,120358393
1584,1668,79000000000,120323086
1584,1668,80000000000,120288412
1584,1668,81000000000,120254374
1584,1668,82000000000,120220977
1584,1668,83000000000,120188230
1584,1668,84000000000,120156127
1584,1668,85000000000,120124678
1584,1668,86000000000,120093885
1584,1668,87000000000,101351510
1584,1668,88000000000,101311270
1584,1668,89000000000,101271458
1584,1668,90000000000,101232076
1584,1668,91000000000,101193122
1584,1668,92000000000,101154611
1584,1668,93000000000,101116533
1584,1668,94000000000,101078901
1584,1668,95000000000,101041719
1584,1668,96000000000,101004982
1584,1668,97000000000,100968706
1584,1668,98000000000,100932884
1584,1668,99000000000,100897524
1584,1668,100000000000,100862628
1584,1668,101000000000,100828200
1584,1668,102000000000,100794249
1584,1668,103000000000,100760766
1584,1668,104000000000,100727763
1584,1668,105000000000,100695245
1584,1668,106000000000,100663207
1584,1668,107000000000,100631660
1584,1668,108000000000,100600605
1584,1668,109000000000,100570044
1584,1668,110000000000,100539984
1584,1668,111000000000,100510424
1584,1668,112000000000,100481368
1584,1668,113000000000,100452818
1584,1668,114000000000,100424792
1584,1668,115000000000,100397268
1584,1668,116000000000,100370268
1584,1668,117000000000,100343784
1584,1668,118000000000,100317828
1584,1668,119000000000,100292397
1584,1668,120000000000,100267491
1584,1668,121000000000,100243124
1584,1668,122000000000,100219294
1584,1668,123000000000,100195999
1584,1668,124000000000,100173246
1584,1668,125000000000,100151037
1584,1668,126000000000,100129378
1584,1668,127000000000,100108266
1584,1668,128000000000,100087708
1584,1668,129000000000,100067705
1584,1668,130000000000,100048257
1584,1668,131000000000,100029372
1584,1668,132000000000,100011049
1584,1668,133000000000,99993299
1584,1668,134000000000,99976110
1584,1668,135000000000,99959490
1584,1668,136000000000,99943441
1584,1668,137000000000,99927968
1584,1668,138000000000,99913071
1584,1668,139000000000,99898753
1584,1668,140000000000,99885013
1584,1668,141000000000,99871856
1584,1668,142000000000,99859288
1584,1668,143000000000,99847302
1584,1668,144000000000,99835903
1584,1668,145000000000,99825099
1584,1668,146000000000,99814885
1584,1668,147000000000,99805262
1584,1668,148000000000,99796235
1584,1668,149000000000,99787803
1584,1668,150000000000,99779968
1584,1668,151000000000,99772734
1584,1668,152000000000,99766097
1584,1668,153000000000,99760064
1584,1668,154000000000,99754628
1584,1668,155000000000,99749802
1584,1668,156000000000,99745577
1584,1668,157000000000,99741960
1584,1668,158000000000,99738946
1584,1668,159000000000,99736539
1584,1668,160000000000,99734742
1584,1668,161000000000,99733550
1584,1668,162000000000,99732969
1584,1668,163000000000,99732997
1584,1668,164000000000,99733633
1584,1668,165000000000,99734877
1584,1668,166000000000,99736736
1584,1668,167000000000,99739201
1584,1668,168000000000,99742276
1584,1668,169000000000,99745962
1584,1668,170000000000,99750258
1584,1668,171000000000,99755166
1584,1668,172000000000,99760685
1584,1668,173000000000,99766810
1584,1668,174000000000,99773545
1584,1668,175000000000,99780891
1584,1668,176000000000,99788842
1584,1668,177000000000,99797405
1584,1668,178000000000,99806570
1584,1668,179000000000,99816345
1584,1668,180000000000,99826723
1584,1668,181000000000,99837708
1584,1668,182000000000,99849297
1584,1668,183000000000,99861486
1584,1668,184000000000,99874278
1584,1668,185000000000,99887672
1584,1668,186000000000,99901662
1584,1668,187000000000,99916252
1584,1668,188000000000,99931436
1584,1668,189000000000,99947221
1584,1668,190000000000,99962181
1584,1668,191000000000,99972750
1584,1668,192000000000,99983905
1584,1668,193000000000,99994873
1584,1668,194000000000,100005119
1584,1668,195000000000,100015958
1584,1668,196000000000,100027377
1584,1668,197000000000,100039378
1584,1668,198000000000,100051961
1584,1668,199000000000,100065121
